x,y
27.63655,2.8303000000000225
33.770612,4.684202999999997
39.761052,7.009434999999996
45.570632,9.763225000000006
51.16212,12.902800000000013
56.409825,16.376045000000005
61.402125,20.23145600000001
66.13941,24.405215
70.62207000000001,28.833500000000015
74.913609,33.576496000000006
78.922643,38.575339000000014
82.625557,43.80451200000002
85.998735,49.238500000000016
90.646406,57.85790300000001
94.773687,66.75812900000001
98.35605100000001,75.89089000000001
101.36896999999999,85.20790000000001
103.762809,94.668734
105.557565,104.27870100000001
106.810828,113.98104800000002
107.58019,123.71902
107.837002,133.413804
107.567421,143.12047
106.841505,152.809661
105.72931,162.45202
104.234151,171.97753400000002
102.32347999999999,181.436926
100.03583,190.814886
97.409735,200.0961
94.51843099999999,209.156273
91.302584,218.114528
87.72025500000001,226.92814900000002
83.729505,235.55442
79.213171,244.1821
74.30238,252.60294100000002
69.021668,260.79794200000003
63.39557,268.748102
54.847813,279.385948
50.21727,284.39912400000003
45.32559,289.145122
40.354415,293.562603
35.181349999999995,297.765693
29.74841,301.590147
23.997609999999998,304.871722
17.804533,307.541755
11.075879,309.800602
4.824446000000002,311.377077
0.06302900000000022,311.999992
0.06302900000000022,307.265962
4.5558089999999964,306.573799
10.403435000000002,304.84260800000004
16.678710000000002,302.430972
22.454442,299.697474
28.040073,296.333071
33.318282999999994,292.470458
38.35163,288.263869
43.202672,283.867537
47.912668,279.281724
52.403247,274.4701
56.651741,269.444514
60.635478,264.216817
66.005321,256.298909
70.954467,248.098387
75.536663,239.67994800000002
79.805655,231.10829
83.55251,222.85893500000003
86.97315599999999,214.461689
90.069729,205.93886
92.844365,197.31276000000003
95.347307,188.466786
97.52767800000001,179.528601
99.348749,170.5128
100.77378999999999,161.43398000000002
101.833832,152.243793
102.525707,143.008971
102.782646,133.757494
102.53788,124.51734000000002
101.79128299999999,115.23982800000002
100.57460499999999,105.99879600000001
98.859576,96.84074700000001
96.617925,87.81218000000001
93.799251,78.67620800000002
90.47957099999999,69.69187400000001
86.61925500000001,60.934278000000006
82.178675,52.47852
78.935485,47.284239000000014
75.333693,42.31637400000001
71.437946,37.567552000000006
67.312888,33.030400000000014
62.881705,28.554579000000004
58.228043,24.293121000000014
53.322300999999996,20.341633
48.134879999999995,16.795720000000017
42.871398,13.78322700000001
37.388701,11.151234000000017
31.726057,8.941444000000018
25.922735,7.19556
19.900791999999996,5.903535000000005
14.009647999999999,5.162215000000003
7.594363999999999,4.831865000000022
0.0,4.772750000000002
0.0630299999999977,0.0
8.072375000000001,0.09885500000001457
14.903456999999996,0.5308210000000031
21.207704999999997,1.4049520000000086
27.63655,2.8303000000000225
