x,y
0,0
2.01809375,0.024713750000004
3.72586425,0.132705250000001
5.30192625,0.351238000000002
6.9091375,0.707575000000005
8.442653,1.17105075
9.940263,1.75235875
11.392658,2.44080625
12.79053,3.2257
14.10245625,4.09401125
15.35053125,5.057864
16.5348525,6.10130375
17.6555175,7.208375
18.72840225,8.394124
19.73066075,9.64383475
20.65638925,10.951128
21.49968375,12.309625
22.6616015,14.46447575
23.69342175,16.68953225
24.58901275,18.9727225
25.3422425,21.301975
25.94070225,23.6671835
26.38939125,26.06967525
26.702707,28.495262
26.8950475,30.929755
26.9592505,33.353451
26.89185525,35.7801175
26.71037625,38.20241525
26.4323275,40.613005
26.05853775,42.9943835
25.58087,45.3592315
25.0089575,47.7037215
24.35243375,50.024025
23.62960775,52.28906825
22.825646,54.528632
21.93006375,56.73203725
20.93237625,58.888605
19.80329275,61.045525
18.575595,63.15073525
17.255417,65.1994855
15.8488925,67.1870255
13.71195325,69.846487
12.5543175,71.099781
11.3313975,72.2862805
10.08860375,73.39065075
8.7953375,74.44142325
7.4371025,75.39753675
5.9994025,76.2179305
4.45113325,76.88543875
2.76896975,77.4501505
1.2061115,77.84426925
0,77.999998
0,0
